url,prjname,devName,price,priceD,sqFtPrD,reraId,propTypeD,lmtDName,waterStatus,postDateT,dimensions
145-Sq-yrd-Residential-Plot-FOR-Sale-Kandi-in-Hyderabad&id=4d423731373534363731,SPRING FEILD VANTAGE,APPLE INFRA GROUP,3625000,36.3 Lac,2778.0,P01100006077,Residential Plot,Kandi,Water Availability 24 Hours Available,2024-05-22T17:35:31.000Z,
150-Sq-yrd-Residential-Plot-FOR-Sale-Sadashivpet-in-Hyderabad&id=4d423731353236383533,Varahi WHealth Atmos,Western Magic Developers,2550000,25.5 Lac,1889.0,P01100006841,Residential Plot,Sadashivpet,Water Availability 24 Hours Available,2024-05-23T17:35:31.000Z,
150-Sq-yrd-Residential-Plot-FOR-Sale-Rudraram-in-Hyderabad&id=4d423732313833353333,Suradru,Prakash Group,3700000,37 Lac,24666.0,P01100006825,Residential Plot,"Rudraram, NH 9",,2024-04-04T11:59:39.000Z,30 X 5
267-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423732323431343137,,,5339733,53.4 Lac,19999.0,,Residential Plot,Shadnagar,,2024-05-22T23:45:35.000Z,40.03 X 6.67
111-Sq-yrd-Residential-Plot-FOR-Sale-Penjerla-in-Hyderabad&id=4d423731373330303933,Nasa Valley,Sri Venkateshwara Infra Developers,1886889,18.9 Lac,16999.0,P02400006050,Residential Plot,Penjerla,,2024-05-22T23:45:33.000Z,15 X 7.4
150-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-Bypass-Road-in-Hyderabad&id=4d423732353633313231,Orchid Blooms,Harika Projects,1800000,18 Lac,12000.0,A02500002097,Residential Plot,Shadnagar Bypass Road,,2024-05-22T23:45:37.000Z,30 X 5
150-Sq-yrd-Residential-Plot-FOR-Sale-Shadnagar-in-Hyderabad&id=4d423732323438363839,,,1650000,16.5 Lac,1222.0,,Residential Plot,Shadnagar,,2024-04-16T11:36:39.000Z,
204-Sq-yrd-Residential-Plot-FOR-Sale-Hyderabad-Suryapet-Highway-in-Hyderabad&id=4d423731363337393339,,,2346000,23.5 Lac,1278.0,,Residential Plot,Hyderabad Suryapet Highway,,2024-05-17T23:53:41.000Z,
200-Sq-yrd-Residential-Plot-FOR-Sale-RCI-Road-in-Hyderabad&id=4d423730373530303335,,,5400000,54 Lac,3000.0,,Residential Plot,RCI Road,,2024-05-04T00:18:30.000Z,16.66 X 12
303-Sq-yrd-Residential-Plot-FOR-Sale-Munipally-in-Hyderabad&id=4d423732363034323639,,,1800000,18 Lac,660.0,,Residential Plot,Munipally,,2024-05-18T06:24:21.000Z,68 X 40
